,team,name,position,cap_hit,base_salary,signing_bonus,roster_bonus,option_bonus,workout_bonus,restructure_bonus,incentive_bonus
0,arizona-cardinals,Budda Baker,S,"$17,901,471 ","$13,100,000 ","$2,000,000 ","$176,471 ","$1,775,000 ",0-,"$150,000 ","$700,000 "
1,arizona-cardinals,Kyler Murray,QB,"$16,007,000 ","$2,000,000 ","$5,807,000 ",0-,"$7,200,000 ","$1,000,000 ",0-,0-
2,arizona-cardinals,Marquise Brown,WR,"$13,413,000 ","$13,413,000 ",0-,0-,0-,0-,0-,0-
3,arizona-cardinals,D.J. Humphries,LT,"$12,536,667 ","$5,500,000 ","$4,250,000 ","$120,000 ",0-,0-,"$2,666,667 ",0-
4,arizona-cardinals,Zach Ertz,TE,"$11,605,000 ","$8,755,000 ","$2,000,000 ","$350,000 ",0-,0-,"$500,000 ",0-
5,arizona-cardinals,James Conner,RB,"$9,445,000 ","$6,250,000 ","$2,000,000 ","$195,000 ","$1,000,000 ",0-,0-,0-
6,arizona-cardinals,Isaiah Simmons,ILB,"$6,574,927 ","$1,010,000 ","$3,147,101 ","$2,417,826 ",0-,0-,0-,0-
7,arizona-cardinals,Jalen Thompson,S,"$5,287,750 ","$1,100,000 ","$2,034,000 ","$170,000 ","$1,983,750 ",0-,0-,0-
8,arizona-cardinals,Paris Johnson,T,"$5,100,446 ","$750,000 ","$4,350,446 ",0-,0-,0-,0-,0-
9,arizona-cardinals,Colt McCoy,QB,"$5,000,000 ","$3,750,000 ","$1,250,000 ",0-,0-,0-,0-,0-
10,arizona-cardinals,Dennis Gardeck,OLB,"$4,216,666 ","$3,270,000 ","$666,666 ","$280,000 ",0-,0-,0-,0-
11,arizona-cardinals,Zaven Collins,ILB,"$4,006,434 ","$1,995,478 ","$2,010,956 ",0-,0-,0-,0-,0-
12,arizona-cardinals,Will Hernandez,G,"$3,550,000 ","$2,000,000 ","$1,250,000 ","$300,000 ",0-,0-,0-,0-
13,arizona-cardinals,Kyzir White,OLB,"$3,250,000 ","$1,500,000 ","$1,750,000 ",0-,0-,0-,0-,0-
14,arizona-cardinals,Josh Jones,RT,"$3,011,881 ","$2,742,000 ","$269,881 ",0-,0-,0-,0-,0-
15,arizona-cardinals,Matt Prater,K,"$2,750,000 ","$1,500,000 ","$1,250,000 ",0-,0-,0-,0-,0-
16,arizona-cardinals,Kelvin Beachum,LT,"$2,532,500 ","$1,165,000 ","$1,047,500 ","$320,000 ",0-,0-,0-,0-
17,arizona-cardinals,Rondale Moore,WR,"$1,888,429 ","$1,289,476 ","$598,953 ",0-,0-,0-,0-,0-
18,arizona-cardinals,Zach Pascal,WR,"$1,830,000 ","$1,080,000 ","$750,000 ",0-,0-,0-,0-,0-
19,arizona-cardinals,Hjalte Froholdt,C,"$1,815,000 ","$1,010,000 ","$550,000 ","$255,000 ",0-,0-,0-,0-
20,arizona-cardinals,Geoff Swaim,TE,"$1,700,000 ","$1,165,000 ","$450,000 ","$85,000 ",0-,0-,0-,0-
21,arizona-cardinals,Carlos Watkins,DE,"$1,570,000 ","$1,080,000 ","$250,000 ","$240,000 ",0-,0-,0-,0-
22,arizona-cardinals,B.J. Ojulari,DE,"$1,563,201 ","$750,000 ","$813,201 ",0-,0-,0-,0-,0-
23,arizona-cardinals,Antonio Hamilton,CB,"$1,500,000 ","$1,165,000 ","$335,000 ",0-,0-,0-,0-,0-
24,arizona-cardinals,Trey McBride,TE,"$1,431,741 ","$991,348 ","$440,393 ",0-,0-,0-,0-,0-
25,arizona-cardinals,Dennis Daley,T,"$1,425,000 ","$1,250,000 ","$175,000 ",0-,0-,0-,0-,0-
26,arizona-cardinals,Ezekiel Turner,ILB,"$1,232,500 ","$1,847,500 ","$152,500 ",0-,0-,0-,0-,0-
27,arizona-cardinals,Leki Fotu,DT,"$1,203,368 ","$1,010,000 ","$193,368 ",0-,0-,0-,0-,0-
28,arizona-cardinals,Rashard Lawrence,DT,"$1,181,021 ","$1,010,000 ","$171,021 ",0-,0-,0-,0-,0-
29,arizona-cardinals,Cam Thomas,DE,"$1,169,168 ","$938,834 ","$230,334 ",0-,0-,0-,0-,0-
30,arizona-cardinals,Myjai Sanders,DE,"$1,146,570 ","$934,314 ","$212,256 ",0-,0-,0-,0-,0-
31,arizona-cardinals,Marco Wilson,CB,"$1,102,595 ","$940,000 ","$162,595 ",0-,0-,0-,0-,0-
32,arizona-cardinals,Kris Boyd,CB,"$1,092,500 ","$1,080,000 ","$152,500 ",0-,0-,0-,0-,0-
33,arizona-cardinals,Rashad Fenton,CB,"$1,092,500 ","$1,080,000 ","$76,250 ","$76,250 ",0-,0-,0-,0-
34,arizona-cardinals,Elijah Wilkinson,G,"$1,092,500 ","$1,080,000 ","$152,500 ",0-,0-,0-,0-,0-
