Year,Team,Win,Loss,Tie
2011,NY Giants,4,0,0
2011,New England,2,1,0
2011,Baltimore,1,1,0
2011,Houston,1,1,0
2011,Denver,1,1,0
2011,New Orleans,1,1,0
2011,San Francisco,1,1,0
2011,Green Bay,0,1,0
2011,Cincinnati,0,1,0
2011,Pittsburgh,0,1,0
2011,Detroit,0,1,0
2011,Atlanta,0,1,0
2012,Baltimore,4,0,0
2012,San Francisco,2,1,0
2012,New England,1,1,0
2012,Houston,1,1,0
2012,Seattle,1,1,0
2012,Green Bay,1,1,0
2012,Atlanta,1,1,0
2012,Minnesota,0,1,0
2012,Cincinnati,0,1,0
2012,Denver,0,1,0
2012,Washington,0,1,0
2012,Indianapolis,0,1,0
2013,Seattle,3,0,0
2013,San Francisco,2,1,0
2013,Denver,2,1,0
2013,New England,1,1,0
2013,Indianapolis,1,1,0
2013,LA Chargers,1,1,0
2013,New Orleans,1,1,0
2013,Cincinnati,0,1,0
2013,Green Bay,0,1,0
2013,Kansas City,0,1,0
2013,Philadelphia,0,1,0
2013,Carolina,0,1,0
2014,New England,3,0,0
2014,Seattle,2,1,0
2014,Indianapolis,2,1,0
2014,Dallas,1,1,0
2014,Green Bay,1,1,0
2014,Carolina,1,1,0
2014,Baltimore,1,1,0
2014,Arizona,0,1,0
2014,Cincinnati,0,1,0
2014,Detroit,0,1,0
2014,Pittsburgh,0,1,0
2014,Denver,0,1,0
2015,Denver,3,0,0
2015,Carolina,2,1,0
2015,Green Bay,1,1,0
2015,New England,1,1,0
2015,Pittsburgh,1,1,0
2015,Kansas City,1,1,0
2015,Seattle,1,1,0
2015,Arizona,1,1,0
2015,Houston,0,1,0
2015,Washington,0,1,0
2015,Minnesota,0,1,0
2015,Cincinnati,0,1,0
2016,New England,3,0,0
2016,Pittsburgh,2,1,0
2016,Atlanta,2,1,0
2016,Green Bay,2,1,0
2016,Houston,1,1,0
2016,Seattle,1,1,0
2016,Las Vegas,0,1,0
2016,Kansas City,0,1,0
2016,Dallas,0,1,0
2016,NY Giants,0,1,0
2016,Detroit,0,1,0
2016,Miami,0,1,0
2017,Philadelphia,3,0,0
2017,New England,2,1,0
2017,Jacksonville,2,1,0
2017,Tennessee,1,1,0
2017,Minnesota,1,1,0
2017,New Orleans,1,1,0
2017,Atlanta,1,1,0
2017,Pittsburgh,0,1,0
2017,Buffalo,0,1,0
2017,Kansas City,0,1,0
2017,Carolina,0,1,0
2017,LA Rams,0,1,0
2018,New England,3,0,0
2018,LA Rams,2,1,0
2018,Kansas City,1,1,0
2018,LA Chargers,1,1,0
2018,Dallas,1,1,0
2018,Philadelphia,1,1,0
2018,New Orleans,1,1,0
2018,Indianapolis,1,1,0
2018,Seattle,0,1,0
2018,Chicago,0,1,0
2018,Baltimore,0,1,0
2018,Houston,0,1,0
2019,Kansas City,3,0,0
2019,Tennessee,2,1,0
2019,San Francisco,2,1,0
2019,Houston,1,1,0
2019,Seattle,1,1,0
2019,Green Bay,1,1,0
2019,Minnesota,1,1,0
2019,New England,0,1,0
2019,Baltimore,0,1,0
2019,Philadelphia,0,1,0
2019,New Orleans,0,1,0
2019,Buffalo,0,1,0
2020,Tampa Bay,4,0,0
2020,Buffalo,2,1,0
2020,Kansas City,2,1,0
2020,LA Rams,1,1,0
2020,Cleveland,1,1,0
2020,Green Bay,1,1,0
2020,Baltimore,1,1,0
2020,New Orleans,1,1,0
2020,Pittsburgh,0,1,0
2020,Tennessee,0,1,0
2020,Indianapolis,0,1,0
2020,Chicago,0,1,0
2020,Seattle,0,1,0
2020,Washington,0,1,0
2021,LA Rams,4,0,0
2021,Cincinnati,3,1,0
2021,San Francisco,2,1,0
2021,Kansas City,2,1,0
2021,Tampa Bay,1,1,0
2021,Buffalo,1,1,0
2021,New England,0,1,0
2021,Pittsburgh,0,1,0
2021,Tennessee,0,1,0
2021,Las Vegas,0,1,0
2021,Philadelphia,0,1,0
2021,Arizona,0,1,0
2021,Dallas,0,1,0
2021,Green Bay,0,1,0
2022,Kansas City,3,0,0
2022,Cincinnati,2,1,0
2022,Philadelphia,2,1,0
2022,San Francisco,2,1,0
2022,Buffalo,1,1,0
2022,Jacksonville,1,1,0
2022,NY Giants,1,1,0
2022,Dallas,1,1,0
2022,Miami,0,1,0
2022,Minnesota,0,1,0
2022,Baltimore,0,1,0
2022,LA Chargers,0,1,0
2022,Seattle,0,1,0
2022,Tampa Bay,0,1,0
