Year,Team,Win,Loss,Tie
2011,Green Bay,15,2,0
2011,New England,15,4,0
2011,New Orleans,14,4,0
2011,San Francisco,14,4,0
2011,Baltimore,13,5,0
2011,Pittsburgh,12,5,0
2011,NY Giants,13,7,0
2011,Houston,11,7,0
2011,Atlanta,10,7,0
2011,Detroit,10,7,0
2011,Tennessee,9,7,0
2011,Cincinnati,9,8,0
2011,Denver,9,9,0
2011,Arizona,8,8,0
2011,NY Jets,8,8,0
2011,Dallas,8,8,0
2011,Philadelphia,8,8,0
2011,Chicago,8,8,0
2011,Las Vegas,8,8,0
2011,LA Chargers,8,8,0
2011,Kansas City,7,9,0
2011,Seattle,7,9,0
2011,Miami,6,10,0
2011,Buffalo,6,10,0
2011,Carolina,6,10,0
2011,Washington,5,11,0
2011,Jacksonville,5,11,0
2011,Cleveland,4,12,0
2011,Tampa Bay,4,12,0
2011,Minnesota,3,13,0
2011,Indianapolis,2,14,0
2011,LA Rams,2,14,0
2012,Atlanta,14,4,0
2012,Denver,13,4,0
2012,New England,13,5,0
2012,San Francisco,13,5,1
2012,Houston,13,5,0
2012,Baltimore,14,6,0
2012,Seattle,12,6,0
2012,Green Bay,12,6,0
2012,Indianapolis,11,6,0
2012,Chicago,10,6,0
2012,Washington,10,7,0
2012,Cincinnati,10,7,0
2012,Minnesota,10,7,0
2012,NY Giants,9,7,0
2012,Dallas,8,8,0
2012,Pittsburgh,8,8,0
2012,LA Rams,7,8,1
2012,Tampa Bay,7,9,0
2012,LA Chargers,7,9,0
2012,Miami,7,9,0
2012,Carolina,7,9,0
2012,New Orleans,7,9,0
2012,NY Jets,6,10,0
2012,Buffalo,6,10,0
2012,Tennessee,6,10,0
2012,Arizona,5,11,0
2012,Cleveland,5,11,0
2012,Las Vegas,4,12,0
2012,Philadelphia,4,12,0
2012,Detroit,4,12,0
2012,Kansas City,2,14,0
2012,Jacksonville,2,14,0
2013,Seattle,16,3,0
2013,Denver,15,4,0
2013,San Francisco,14,5,0
2013,New England,13,5,0
2013,Carolina,12,5,0
2013,Indianapolis,12,6,0
2013,New Orleans,12,6,0
2013,Kansas City,11,6,0
2013,Cincinnati,11,6,0
2013,Arizona,10,6,0
2013,Philadelphia,10,7,0
2013,LA Chargers,10,8,0
2013,Miami,8,8,0
2013,NY Jets,8,8,0
2013,Dallas,8,8,0
2013,Pittsburgh,8,8,0
2013,Baltimore,8,8,0
2013,Chicago,8,8,0
2013,Green Bay,8,8,1
2013,NY Giants,7,9,0
2013,Tennessee,7,9,0
2013,Detroit,7,9,0
2013,LA Rams,7,9,0
2013,Buffalo,6,10,0
2013,Minnesota,5,10,1
2013,Las Vegas,4,12,0
2013,Cleveland,4,12,0
2013,Tampa Bay,4,12,0
2013,Jacksonville,4,12,0
2013,Atlanta,4,12,0
2013,Washington,3,13,0
